confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
300	1	1	2	2	0.7539926987348234	-25.221252210740904	0.9999999999999999	64.62012192793934	C11H12O5	[M + H]+	DFFWZNDCNBOKDI	InChI=1S/C11H12O5/c12-7-3-6(11(15)16)4-8(13)9(7)10(14)5-1-2-5/h5-6,14H,1-4H2,(H,15,16)	Trinexapac	C1CC1C(=C2C(=O)CC(CC2=O)C(=O)O)O	0.200000003	14371531	NORMAN:(NS00004127);PubChem:(14371531);CHEBI:(83454);additional;MeSH:(14371531);PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	8657846374	225.0755844116211	236.784852	66_fibl_pilot_pos_sirius_74	74
301	1	1	2	2	0.753965698720862	-3.594639146812089	0.9999999999999999	54.05306516672203	C6H11NOS2	[M + H]+	SUVMJBTUFCVSAD	InChI=1S/C6H11NOS2/c1-10(8)5-3-2-4-7-6-9/h2-5H2,1H3	Sulforafan	CS(=O)CCCCN=C=S	1.39999998	5350;10511560;9577379;10976074;10419733;11389813	HMDB:(5792);SuperNatural:(SN00005975 SN00003101);ZINC bio:(ZINC02557133 ZINC03875035);additional;MeSH:(5350 9577379);PubMed;COCONUT:(CNP0220721);KNApSAcK:(50239);Natural Products:(UNPD177251);PubChem:(5350 10511560 9577379 10976074 10419733 11389813);CHEBI:(47807 47809 47808);PubChem class - bio and metabolites;Training Set;PubChem class - drug;Biocyc:(CPD-19494)	54061182	178.03514099121094	193.531158	390_fibl_pilot_pos_sirius_430	430
302	1	1	2	2	0.7536661033907132	-1.6151961155148067	0.9999999999999999	59.7065066791211	C9H11NO3	[M + H]+	OUYCCCASQSFEME	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	tyrosine	C1=CC(=CC=C1CC(C(=O)O)N)O	0.267655462	1153;6057;71098;134618;450407;450408;450409;450610;2724449;3741725;4300518;5460804;5460805;5460807;5460811;5460812;5460814;5460819;5460820;5460822;10513366;10657063;6919035;6942100;12144755;12209698;12209699;12209703;12209704;12209705;12209706;12209707;12209714;12209715;12209716;12209718;12209719;12209720;12209722;12209728;12209730;12209731;10035292;10081061;10176393;10261774;10285839;11819702;11344427;10419891;16057302;16121128;16121129;18761740;16213418;16213445;16213583;16217563;22525020;22525021;22525022;25033054;24209846;24209847;25240685;25240941;25241510;25241511;46198802;46198803;46200025;46200026;46200027;46200028;46200029;46200030;46200031;46200180;46200178;46200179;46200181;46200182;46200183;46200184;46200325;46200326;46200327;46200328;46200329;46200486;51038299;51038519;46932123;54170871;54170875;56613523;56615578;56846617;66995444;67616738;71524149;71308851;87528069;87206347;90695549;91056413;90471999;90472602;101207897;102122882;102134361;102176480;101397207;101397208;101473587;102352870;102352865;102352866;102352868;102352869;102601143;102601262;102602318;102445951;102467108;119078552;118264389;118404240;121232915;121232916;124202800;124202884;129691772;129718953;129827297;131708673;131869542;138986902	HMDB:(158);PubChem class - food;SuperNatural:(SN00321715 SN00001300);ZINC bio:(ZINC00002234 ZINC00266964);additional;HSDB:(60-18-4);MeSH:(6057);Plantcyc:(TYR);PubMed;NORMAN:(NS00001880);COCONUT:(CNP0082847 CNP0082848 CNP0116237 CNP0273041);KNApSAcK:(1397);Natural Products:(UNPD23045 UNPD50706);PubChem:(1153 6057 71098 134618 450407 450408 450409 450610 2724449 3741725 4300518 5460804 5460805 5460807 5460811 5460812 5460814 5460819 5460820 5460822 10513366 10657063 6919035 6942100 12144755 12209698 12209699 12209703 12209704 12209705 12209706 12209707 12209714 12209715 12209716 12209718 12209719 12209720 12209722 12209728 12209730 12209731 10035292 10081061 10176393 10261774 10285839 11819702 11344427 10419891 16057302 16121128 16121129 18761740 16213418 16213445 16213583 16217563 22525020 22525021 22525022 25033054 24209846 24209847 25240685 25240941 25241510 25241511 46198802 46198803 46200025 46200026 46200027 46200028 46200029 46200030 46200031 46200180 46200178 46200179 46200181 46200182 46200183 46200184 46200325 46200326 46200327 46200328 46200329 46200486 51038299 51038519 46932123 54170871 54170875 56613523 56615578 56846617 66995444 67616738 71524149 71308851 87528069 87206347 90695549 91056413 90471999 90472602 101207897 102122882 102134361 102176480 101397207 101397208 101473587 102352870 102352865 102352866 102352868 102352869 102601143 102601262 102602318 102445951 102467108 119078552 118264389 118404240 121232915 121232916 124202800 124202884 129691772 129718953 129827297 131708673 131869542 138986902);CHEBI:(32760 32784 28479 32773 58315 32761 32775 32774 17895 32762 58570 18186 32786 32785);PubChem class - bio and metabolites;KEGG:(C00082 C06420 C01536);PubChem class - safety and toxic;YMDB:(364 805);Training Set;PubChem class - drug;Biocyc:(D-TYROSINE TYR)	255847294	182.08116149902344	55.749348	4549_fibl_pilot_pos_sirius_4822	4822
303	1	1	2	2	0.753151760723517	-22.811700131209047	0.9999999999999999	38.30717629089135	C4H9NO3S	[M + H]+	ZZLHPCSGGOGHFW	InChI=1S/C4H9NO3S/c1-9(8)2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	Methiin	CS(=O)CC(C(=O)O)N	-4.30000019	82142;99483;182092;9578071;12917855;12917856;25202909;40528042;40528043;40528044;40528045;40528048;90659041;139024978;138114891	HMDB:(29432);SuperNatural:(SN00234028 SN00157455);ZINC bio:(ZINC05339227 ZINC05339228 ZINC05339229 ZINC05339232);MeSH:(82142 99483 182092 9578071 90659041);Plantcyc:(CPD-9277);PubMed;NORMAN:(NS00018365);COCONUT:(CNP0196836);KNApSAcK:(51720);Natural Products:(UNPD129923);PubChem:(82142 99483 182092 9578071 12917855 12917856 25202909 40528042 40528043 40528044 40528045 40528048 90659041 139024978 138114891);CHEBI:(137271);PubChem class - bio and metabolites;Biocyc:(CPD-9277)	20359294	152.03755950927734	37.4885616	4912_fibl_pilot_pos_sirius_5190	5190
304	1	1	2	2	0.7519126465823008	-12.946875306231222	0.9999999999999999	18.16764659335204	C5H5N5O	[M + H]+	UYTPUPDQBNUYGX	InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)	Dew Pearl	C1=NC2=C(N1)NC(=N)N=C2O	-0.300000012	101209860;101209861;135537618;135818268;136111026;136636085;136176309;136689991;136219950;136219951;137154458;137224691;136806181;135398634;136373045;137262648;137262649;136900161;136912024;135492042	HMDB:(132);SuperNatural:(SN00001734);ZINC bio:(ZINC00895129);additional;HSDB:(73-40-5);MeSH:(135398634);Plantcyc:(GUANINE);PubMed;NORMAN:(NS00004031);COCONUT:(CNP0181327);KNApSAcK:(1501);Natural Products:(UNPD47403);PubChem:(101209860 101209861 135537618 135818268 136111026 136636085 136176309 136689991 136219950 136219951 137154458 137224691 136806181 135398634 136373045 137262648 137262649 136900161 136912024 135492042);CHEBI:(16235);PubChem class - bio and metabolites;KEGG:(C00242);PubChem class - safety and toxic;YMDB:(698);Training Set;PubChem class - drug;Biocyc:(GUANINE SMA-0000461)	121629566	152.0567626953125	69.008622	4650_fibl_pilot_pos_sirius_4924	4924
305	1	1	2	2	0.7508211198947745	-3.1177215415607695	0.9989949748743717	23.288308510897586	C20H18O11	[M + H]+	PZZRDJXEMZMZFD	InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2	Reinutrin	C1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O	0.400000006	5878729;5317847;5320830;5320861;5320863;5481217;5481224;12309863;12309864;12309865;10274530;11972441;21550891;21722017;26202188;44259215;44259216;44259270;51652818;69916646;89313627;121540514;135397965	SuperNatural:(SN00387238 SN00032655 SN00014154 SN00020871 SN00159604 SN00162006 SN00143407 SN00387269 SN00265715 SN00159013 SN00027335 SN00020872);ZINC bio:(ZINC06569127 ZINC14684624 ZINC14684626 ZINC15657718 ZINC25763680 ZINC28367529 ZINC35454808);additional;MeSH:(5320861 5320863 5481224 12309863 44259215);PubMed;NORMAN:(NS00015850);COCONUT:(CNP0388516 CNP0400870);KNApSAcK:(5368);Natural Products:(UNPD187630 UNPD62145 UNPD88032 UNPD134777 UNPD195242 UNPD9000 UNPD48907 UNPD184306);PubChem:(5878729 5317847 5320830 5320861 5320863 5481217 5481224 12309863 12309864 12309865 10274530 11972441 21550891 21722017 26202188 44259215 44259216 44259270 51652818 69916646 89313627 121540514 135397965);YMDB Mine;CHEBI:(69456 141135);Training Set;Biocyc:(CPD-21621)	34363730038	435.0921325683594	195.378846	1313_fibl_pilot_pos_sirius_1439	1439
306	1	1	2	2	0.7507487033145378	-7.8891705567605515	0.9999999999999999	52.49893423464684	C8H16N2O3	[M + H]+	DKEXFJVMVGETOO	InChI=1S/C8H16N2O3/c1-5(2)3-6(8(12)13)10-7(11)4-9/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)	Glycylleucine	CC(C)CC(C(=O)O)NC(=O)CN	-2.29999995	1548899;92843;102468;1715076;1715077;44369321;129691734	HMDB:(759);SuperNatural:(SN00215837 SN00051733 SN00050518);ZINC bio:(ZINC01529368 ZINC02036137);additional;MeSH:(92843 102468);PubMed;NORMAN:(NS00014842);COCONUT:(CNP0387937);PubChem:(1548899 92843 102468 1715076 1715077 44369321 129691734);CHEBI:(73514 143163);PubChem class - bio and metabolites;KEGG:(C02155);Training Set;Biocyc:(CPD-12312)	20736366	189.1235122680664	109.843998	4933_fibl_pilot_pos_sirius_5211	5211
307	1	1	2	2	0.7492582614434764	-70.33786991092221	0.9999999999999999	36.453868389459096	C11H14N2O	[M + H]+	CBQYNPHHHJTCJS	InChI=1S/C11H14N2O/c1-13-7-6-11(14)8-4-2-3-5-9(8)12-10(11)13/h2-5,10,12,14H,6-7H2,1H3	Pyrrolo[2,3-b]indol-3a(1H)-ol, 2,3,8,8a-tetrahydro-1-methyl-	CN1CCC2(C1NC3=CC=CC=C32)O	1.0	11845508;53235863;73124019;134723222	COCONUT:(CNP0310786);HMDB:(30533);Natural Products:(UNPD68760);PubChem:(11845508 53235863 73124019 134723222);SuperNatural:(SN00353432);PubChem class - bio and metabolites	19955722	191.1178741455078	104.34579000000001	2080_fibl_pilot_pos_sirius_2261	2261
308	1	1	2	2	0.7479082868139276	-211.58025745303524	0.9989949748743718	62.06517406108737	C33H40O19	[M - H2O + H]+	OYBXWIHTZXPSHZ	InChI=1S/C33H40O19/c1-16(35)43-14-25-27(45-18(3)37)29(47-20(5)39)30(48-21(6)40)32(49-25)52-33(15-44-17(2)36)31(28(46-19(4)38)24(13-34)51-33)50-26(42)12-9-22-7-10-23(41)11-8-22/h7-12,24-25,27-32,34,41H,13-15H2,1-6H3	null	CC(=O)OCC1C(C(C(C(O1)OC2(C(C(C(O2)CO)OC(=O)C)OC(=O)C=CC3=CC=C(C=C3)O)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C	0.200000003	71580578	COCONUT:(CNP0124339);Natural Products:(UNPD227560);PubChem:(71580578)	2129922	723.213134765625	259.40398200000004	4078_fibl_pilot_pos_sirius_4346	4346
309	1	1	2	2	0.7478471199656203	-10.993594302621233	0.9999999999999999	67.95702979611767	C22H41NO2	[M + H]+	MWQCBVWCBTUPDQ	InChI=1S/C22H41NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(25)23-20-21-24/h6-7,9-10,24H,2-5,8,11-21H2,1H3,(H,23,25)	Anandamide (20:2, n-6)	CCCCCC=CCC=CCCCCCCCCCC(=O)NCCO	6.69999981	5283444;49824003	PubChem:(5283444 49824003);PubMed;CHEBI:(73733)	98	352.3209228515625	535.284666	3342_fibl_pilot_pos_sirius_3585	3585
310	1	1	2	2	0.7467957286191191	-217.99738184731916	0.9999999999999999	105.51317965153464	C18H29NO6	[M + H]+	NPDOYQQYKLFRBY	InChI=1S/C18H29NO6/c20-14-15(18(24)25)19-16(21)12-10-8-6-4-2-1-3-5-7-9-11-13-17(22)23/h2,4,8,10,15,20H,1,3,5-7,9,11-14H2,(H,19,21)(H,22,23)(H,24,25)	null	C(CCCC=CCC=CCC(=O)NC(CO)C(=O)O)CCCC(=O)O	2.29999995	137918190	PubChem:(137918190);COCONUT:(CNP0278751)	2097154	356.20672607421875	239.100072	3105_fibl_pilot_pos_sirius_3333	3333
311	1	1	2	2	0.7467935988931668	-126.75099168952659	0.9999999999999999	26.866901588050716	C22H39NO4	[M - H2O + H]+	QGAWKBHDDFBNMX	InChI=1S/C22H39NO4/c1-4-5-8-11-17(24)14-15-19-18(20(25)16-21(19)26)12-9-6-7-10-13-22(27)23(2)3/h6,9,14-15,17-21,24-26H,4-5,7-8,10-13,16H2,1-3H3	PGF2alpha N-DMA	CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)N(C)C)O)O)O	3.77940321	5283075;52193851;53394190;71195193	MeSH:(5283075);Training Set;PubChem:(5283075 52193851 53394190 71195193);PubMed;additional	540742	364.2845153808594	253.37339999999998	2858_fibl_pilot_pos_sirius_3072	3072
312	1	1	2	2	0.7466375068329582	-5.186176429095514	0.9999999999999999	47.904514435067846	C9H18N2O3	[M + H]+	RDIKFPRVLJLMER	InChI=1S/C9H18N2O3/c1-5(2)4-7(9(13)14)11-8(12)6(3)10/h5-7H,4,10H2,1-3H3,(H,11,12)(H,13,14)	alanylleucine	CC(C)CC(C(=O)O)NC(=O)C(C)N	-0.0586139597	96801;259583;6992128;6992387;6992388;6992389;6992390;6992391;6992392;23615548;61157877;78973229;78975663;129639408;129641874	NORMAN:(NS00048284);COCONUT:(CNP0079790);HMDB:(28691);PubChem:(96801 259583 6992128 6992387 6992388 6992389 6992390 6992391 6992392 23615548 61157877 78973229 78975663 129639408 129641874);CHEBI:(73838 74389 73770);ZINC bio:(ZINC01541833 ZINC38200467);additional;PubChem class - bio and metabolites;Training Set;PubMed;Biocyc:(CPD-13398)	19687530	203.13922882080078	107.689908	2684_fibl_pilot_pos_sirius_2893	2893
313	1	1	1	1	0.745790502966462	-90.52520553817341	0.9999999999999999	21.448327205198012	C21H34O10	[M + Na]+	QOIHIEPXTNMSSM	InChI=1S/C21H34O10/c1-10(6-14-7-11(2)20(28)30-14)4-5-13(12(3)19(26)27)9-29-21-18(25)17(24)16(23)15(8-22)31-21/h4,11-18,21-25H,5-9H2,1-3H3,(H,26,27)	null	CC1CC(OC1=O)CC(=CCC(COC2C(C(C(C(O2)CO)O)O)O)C(C)C(=O)O)C	0.699999988	45359728	COCONUT:(CNP0319618);PubChem:(45359728);SuperNatural:(SN00037876 SN00033466 SN00037874 SN00037877 SN00037875 SN00033465 SN00033464 SN00033463);ZINC bio:(ZINC31163360 ZINC31163364 ZINC31163367 ZINC31163371 ZINC35458291 ZINC35458295 ZINC35458300 ZINC35458303);additional;Training Set	3694594	469.204345703125	191.548854	2970_fibl_pilot_pos_sirius_3191	3191
314	1	1	2	2	0.7443960299148921	-52.41066067658498	0.9999999999999999	122.35716172586089	C18H31NO	[M + H]+	NHUOWASJBBPFMB	InChI=1S/C18H31NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H2,19,20)	Linolenamide	CCC=CCC=CCC=CCCCCCCCC(=O)N	5.19999981	3018825;6365786;9882094;88780393	NORMAN:(NS00061004);PubChem:(3018825 6365786 9882094 88780393);PubMed;CHEBI:(142684);KEGG Mine	8590196834	278.24798583984375	497.908074	1657_fibl_pilot_pos_sirius_1812	1812
315	1	2	2	4	0.7439806841002187	-294.2668642032605	0.06834170854271357	67.63638193617864	C17H29N5O4	[M - H2O + H]+	OKARRIUYULUEQG	InChI=1S/C17H29N5O4/c1-11(15(18)24)19-16(25)14-10-21(12(2)23)8-9-22(14)17(26)20-13-6-4-3-5-7-13/h11,13-14H,3-10H2,1-2H3,(H2,18,24)(H,19,25)(H,20,26)	null	CC(C(=O)N)NC(=O)C1CN(CCN1C(=O)NC2CCCCC2)C(=O)C	-0.600000024	40467398	COCONUT:(CNP0172148);PubChem:(40467398);SuperNatural:(SN00003807);ZINC bio:(ZINC03838719)	3153922	350.21783447265625	168.01284	1498_fibl_pilot_pos_sirius_1643	1643
316	1	1	2	2	0.7438090523955976	-9.550722197224356	0.9999999999999999	15.919250548970897	C11H21NO4	[M + H]+	QWYFHHGCZUCMBN	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1	Butyrylcarnitine	CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	0.600000024	213114;213115;213144;213145;439829;439830;46780958;46780959;71309894;89442497;89442498;129316410;133687769;133687770	HMDB:(2013);SuperNatural:(SN00002061 SN00002062);ZINC bio:(ZINC01529540 ZINC01529541);additional;MeSH:(213144 213145);PubMed;COCONUT:(CNP0082963);PubChem:(213114 213115 213144 213145 439829 439830 46780958 46780959 71309894 89442497 89442498 129316410 133687769 133687770);CHEBI:(7676 21949);PubChem class - bio and metabolites;KEGG:(C02862);PubChem class - safety and toxic;YMDB:(1536);Training Set;Biocyc:(CPD-19738)	87648622	232.1543426513672	111.544752	406_fibl_pilot_pos_sirius_446	446
317	1	1	2	2	0.7422214759189685	-30.53642003463497	0.9999999999999999	45.41092635426535	C8H18N2O2	[M + H]+	XQMALTZLPGQCEH	InChI=1S/C8H18N2O2/c1-10(2,3)6-4-5-7(9)8(11)12/h7H,4-6,9H2,1-3H3/p+1	Pnnnto	C[N+](C)(C)CCCC(C(=O)O)N	-0.92688781	189804;21773702;21773703	COCONUT:(CNP0017733 CNP0046447);Natural Products:(UNPD50173);PubChem:(189804 21773702 21773703);SuperNatural:(SN00328510);ZINC bio:(ZINC06068087);MeSH:(189804);PubMed	3186758	175.14424896240234	56.4490962	671_fibl_pilot_pos_sirius_731	731
318	1	3	1	5	0.7412136067565158	-345.01409440304917	0.05979899497487437	53.302045301140275	C22H23BN4O4	[M + Na]+	ILENEQWIGPQYCQ	InChI=1S/C22H23BN4O4/c28-21(27-20(23(30)31)14-17-9-5-2-6-10-17)18(13-16-7-3-1-4-8-16)26-22(29)19-15-24-11-12-25-19/h1-12,15,18,20,30-31H,13-14H2,(H,26,29)(H,27,28)	null	B(C(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=NC=CN=C3)(O)O	2.05446005	137348256	PubChem:(137348256);PubChem class - bio and metabolites	16777218	440.1754455566406	220.381938	2323_fibl_pilot_pos_sirius_2516	2516
319	1	1	2	2	0.7407821226764224	-148.59599206682321	0.9909547738693469	35.27846888447155	C24H29NO10	[M + H]+	SQPCTGJWLNZDKA	InChI=1S/C24H29NO10/c1-33-18-11-13(4-7-20(29)25-9-8-14-2-5-15(27)16(28)10-14)3-6-17(18)34-24-23(32)22(31)21(30)19(12-26)35-24/h2-7,10-11,19,21-24,26-28,30-32H,8-9,12H2,1H3,(H,25,29)	null	COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC(=C(C=C2)O)O)OC3C(C(C(C(O3)CO)O)O)O	0.66730231	132943084	MeSH:(132943084);PubChem:(132943084);PubMed	70	492.1861572265625	194.66871	4837_fibl_pilot_pos_sirius_5113	5113
320	1	1	2	2	0.7396430381723818	-3.9720074428781076	0.9999999999999999	85.62403347391103	C9H8O4	[M - H2O + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	163.0389175415039	105.075894	3168_fibl_pilot_pos_sirius_3400	3400
321	1	1	2	2	0.7385049053614255	-47.279435635645854	0.9999999999999999	40.197219634057376	C12H24N2O3	[M - H2O + H]+	IWENLYKHSZCPRD	InChI=1S/C12H24N2O3/c13-9-5-1-3-7-11(15)14-10-6-2-4-8-12(16)17/h1-10,13H2,(H,14,15)(H,16,17)	nylon linear dimer	C(CCC(=O)NCCCCCC(=O)O)CCN	-2.0999999	895;5245705;5460073;57981353	PubChem:(895 5245705 5460073 57981353);CHEBI:(78629 16780 49255 58798);ZINC bio:(ZINC01532906);PubChem class - bio and metabolites;KEGG:(C01255 C20988);Plantcyc:(N-6-AMINOHEXANOYL-6-AMINOHEXANOATE);Training Set;PubMed;Biocyc:(N-6-AMINOHEXANOYL-6-AMINOHEXANOATE)	16935266	227.1754608154297	119.967624	383_fibl_pilot_pos_sirius_421	421
322	1	1	2	2	0.7382547472595081	-55.8750431612731	0.9999999999999999	41.1898402711792	C17H35NO2	[M - H2O + H]+	RBEJCQPPFCKTRZ	InChI=1S/C17H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(20)16(18)15-19/h13-14,16-17,19-20H,2-12,15,18H2,1H3	C17 Sphingosine	CCCCCCCCCCCCC=CC(C(CO)N)O	4.69999981	3247036;5283557;14767873;53394031;71581052;95065736;91746221;124511057	COCONUT:(CNP0224815);Natural Products:(UNPD10613);PubChem:(3247036 5283557 14767873 53394031 71581052 95065736 91746221 124511057);SuperNatural:(SN00275491);CHEBI:(74220 74166);additional;Training Set;PubMed	3719266	268.2637634277344	555.482976	5019_fibl_pilot_pos_sirius_5297	5297
323	1	1	2	2	0.7361950807874598	-28.777388077271002	0.9999999999999999	148.9534522696837	C18H33NO	[M + H]+	SFIHQZFZMWZOJV	InChI=1S/C18H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H2,19,20)	linoleamide	CCCCCC=CCC=CCCCCCCCC(=O)N	5.9000001	3930;5353723;6435901;88175293	HMDB:(62656);PubChem class - food;MeSH:(6435901);PubMed;NORMAN:(NS00049417);COCONUT:(CNP0161573);Natural Products:(UNPD14642);PubChem:(3930 5353723 6435901 88175293);YMDB Mine;CHEBI:(93121 82984);PubChem class - bio and metabolites;KEGG Mine	43103060078	280.2636260986328	480.650712	1841_fibl_pilot_pos_sirius_2008	2008
324	1	1	2	2	0.7353698287318846	-1.7435152163928653	0.9999999999999999	48.87639293386627	C9H8O4	[M - H2O + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	163.03907012939453	160.466094	494_fibl_pilot_pos_sirius_540	540
325	1	1	2	2	0.735326016844772	-66.27407896853826	0.9989949748743717	31.17373454245679	C25H43NO4	[M + H]+	YCINYVPLUUGAJO	InChI=1S/C25H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,15-16,23H,5-8,11,14,17-22H2,1-4H3/p+1	null	CCCCCC=CCC=CCC=CCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	5.80000019	134812245;134812246	PubChem:(134812245 134812246);PubChem class - bio and metabolites	16777218	422.3266906738281	416.702946	5209_fibl_pilot_pos_sirius_5491	5491
326	1	1	2	2	0.7335763381385794	-35.12977315341002	0.9999999999999999	36.46980389858483	C15H23N5O3	[M - H2O + H]+	OZILORBBPKKGRI	InChI=1S/C15H23N5O3/c16-11(9-10-5-2-1-3-6-10)13(21)20-12(14(22)23)7-4-8-19-15(17)18/h1-3,5-6,11-12H,4,7-9,16H2,(H,20,21)(H,22,23)(H4,17,18,19)	Phenylalanylarginine	C1=CC=C(C=C1)CC(C(=O)NC(CCCN=C(N)N)C(=O)O)N	-0.280954629	150903;7009551;10268029;13892783;54177359;54177360;70047378;71409591	COCONUT:(CNP0346856);HMDB:(28989);PubChem:(150903 7009551 10268029 13892783 54177359 54177360 70047378 71409591);CHEBI:(133147 73632);ZINC bio:(ZINC02384770);additional;PubChem class - bio and metabolites;MeSH:(150903 10268029);PubMed;KEGG Mine	8609341550	304.17669677734375	115.75081800000001	1777_fibl_pilot_pos_sirius_1940	1940
327	1	1	2	2	0.7324289150164	-1.6686743699716635	0.9999999999999999	44.3264067488791	C9H8O4	[M - H2O + H]+	QAIPRVGONGVQAS	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)O	0.97017473	2518;1549111;689043;11458067;16109948;46780148;54681167;54691412;54710367;71309625;71434158;76973924;90769002;101215182;100923614;131866465	HMDB:(1964 3501 125102);SuperNatural:(SN00280300 SN00000970 SN00293240);ZINC bio:(ZINC00058172 ZINC04482687);additional;HSDB:(331-39-5);MeSH:(689043);Plantcyc:(CPD-676 CPD-8098);PubMed;NORMAN:(NS00010313);COCONUT:(CNP0082755 CNP0186784);KNApSAcK:(615);Natural Products:(UNPD52427 UNPD121048 UNPD216267);PubChem:(2518 1549111 689043 11458067 16109948 46780148 54681167 54691412 54710367 71309625 71434158 76973924 90769002 101215182 100923614 131866465);CHEBI:(16433 36281 58129 57770 17395);PubChem class - bio and metabolites;EcoCyc Mine;KEGG:(C01197 C01481);PubChem class - safety and toxic;YMDB:(1645);Training Set;PubChem class - drug;Biocyc:(CPD-676 CPD-8098)	17301498750	163.03904724121094	140.24007	2518_fibl_pilot_pos_sirius_2721	2721
