feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1020	7.0	0.31317782	ISDB	http://www.wikidata.org/entity/Q67879834	ZAJTXVHECZCXLH-UHFFFAOYSA-N	InChI=1S/C13H14O2/c1-9(14)10-4-5-12-11(8-10)6-7-13(2,3)15-12/h4-8H,1-3H3	CC(=O)c1ccc2c(c1)C=CC(C)(C)O2	C13H14O2	nan	202.099379688	1-(2,2-Dimethylchromen-6-yl)ethanone	ZAJTXVHECZCXLH	Terpenoids	Meroterpenoids	Merohemiterpenoids	http://www.wikidata.org/entity/Q1370480	Helianthella quinquenervis	464955.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Heliantheae']	['Helianthella']	['Helianthella quinquenervis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	nan	nan	nan	6	3	8.752711296081543	1	173	Terpenoids	1.0	Sesquiterpenoids	1.0	Merohemiterpenoids	0.5714285714285714
1021	1.0	0.76373893	ISDB	http://www.wikidata.org/entity/Q105254956	SKOJWJADWCAPSY-FGZHOGPDSA-N	InChI=1S/C23H48NO7P/c1-20(2)14-12-10-8-7-9-11-13-15-21(3)23(26)29-18-22(25)19-31-32(27,28)30-17-16-24(4,5)6/h20-22,25H,7-19H2,1-6H3/t21-,22-/m1/s1	CC(C)CCCCCCCCC[C@@H](C)C(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C	C23H48NO7P	nan	481.316839506	[(2R)-3-[(2R)-2,12-dimethyltridecanoyl]oxy-2-hydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	SKOJWJADWCAPSY	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q3519668	Stelletta	662723.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Tetractinellida']	['Ancorinidae']	['Unknown']	['Stelletta']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	4.554955720901489	1	68	Fatty acids	0.09090909090909091	Glycerophospholipids	0.09090909090909091	Glycerophosphocholines	0.09090909090909091
1022	1.0	0.6469039	ISDB	http://www.wikidata.org/entity/Q105207298	PESDJELQYIQZBG-RMQQFATJSA-N	InChI=1S/C21H38O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-18-20(22)21(23)24-19/h9-10,19-20,22H,2-8,11-18H2,1H3/b10-9+/t19-,20-/m1/s1	CCCCCCCC/C=C/CCCCCCC[C@@H]1C[C@@H](O)C(=O)O1	C21H38O3	nan	338.282095076	(3R,5R)-5-[(E)-heptadec-8-enyl]-3-hydroxyoxolan-2-one	PESDJELQYIQZBG	Polyketides	nan	nan	http://www.wikidata.org/entity/Q15393045	Garcinia mannii	155007.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Clusiaceae']	['Garcinieae']	['Garcinia']	['Garcinia mannii']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.587615489959717	1	83	Fatty acids	0.4	Glycerophospholipids	0.3333333333333333	Glycerophosphoethanolamines	0.26666666666666666
1023	1.0	0.30194163	ISDB	http://www.wikidata.org/entity/Q105007250	GENYSLRBRFXSJH-UVPYHEFZSA-N	InChI=1S/C16H25N/c1-11(2)13-8-10-16(4)9-6-7-12(3)14(16)15(13)17-5/h12-15H,1,6-10H2,2-4H3/t12-,13-,14-,15-,16+/m0/s1	[C-]#[N+][C@@H]1[C@@H]2[C@@H](C)CCC[C@]2(C)CC[C@H]1C(=C)C	C16H25N	nan	231.1986998	(3S,4S,4aR,5S,8aR)-4-isocyano-5,8a-dimethyl-3-prop-1-en-2-yl-2,3,4,4a,5,6,7,8-octahydro-1H-naphthalene	GENYSLRBRFXSJH	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q2554196	Acanthella acuta	215114.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Axinellida']	['Axinellidae']	['Unknown']	['Acanthella']	['Acanthella acuta']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	3	4.707766532897949	1	180	Fatty acids	0.045454545454545456	Fatty Acids and Conjugates	0.045454545454545456	Eudesmane sesquiterpenoids	0.045454545454545456
1024	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104401532	FAARLWTXUUQFSN-UHFFFAOYSA-N	InChI=1S/C15H8O8/c1-21-11-7(17)3-5-9-8-4(15(20)23-13(9)11)2-6(16)10(18)12(8)22-14(5)19/h2-3,16-18H,1H3	COc1c(O)cc2c(=O)oc3c(O)c(O)cc4c(=O)oc1c2c34	C15H8O8	pos_1_1proton	316.021917216	3-O-methylellagic acid	FAARLWTXUUQFSN	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Gallotannins	http://www.wikidata.org/entity/Q15383944	Euphorbia ferganensis	3912420.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia ferganensis']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	nan	8	3	9.5	1	723	Shikimates and Phenylpropanoids	0.3333333333333333	Phenolic acids (C6-C1)	0.3333333333333333	Gallotannins	0.3333333333333333
1027	19.0|19.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q105380642|http://www.wikidata.org/entity/Q27282832	ZOQCEVXVQCPESC-UHFFFAOYSA-N|FXMGSXNQELBPMX-UHFFFAOYSA-N	InChI=1S/C11H12O3/c1-2-14-11(13)8-5-9-3-6-10(12)7-4-9/h3-8,12H,2H2,1H3|InChI=1S/C10H8O2/c1-7-3-2-4-9-8(7)5-6-10(11)12-9/h2-6H,1H3	CCOC(=O)C=Cc1ccc(O)cc1|Cc1cccc2oc(=O)ccc12	C11H12O3|C10H8O2	pos_1_1proton|pos_1_1proton1methanol	192.078644244|160.052429496	Ethyl 4-hydroxycinnamate|5-Methylcoumarin	ZOQCEVXVQCPESC|FXMGSXNQELBPMX	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)|Coumarins	Cinnamic acids and derivatives|Simple coumarins	http://www.wikidata.org/entity/Q8208640|http://www.wikidata.org/entity/Q15568337	Atractylodes macrocephala|Vernonia leopoldi	361559.0|7052681.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Asterales']|['Asterales']	['Asteraceae']|['Asteraceae']	['Cardueae']|['Vernonieae']	['Atractylodes']|['Vernonia']	['Atractylodes macrocephala']|['Vernonia leopoldi']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Asterales']|['Asterales']	['Asteraceae']|['Asteraceae']	['Cardueae']|nan	nan|nan	nan|nan	7|6	1|3	7.5|7.5	1|1	64	Shikimates and Phenylpropanoids	0.8888888888888888	Coumarins	0.6666666666666666	Simple coumarins	0.6666666666666666
1041	13.0	0.64076006	ISDB	http://www.wikidata.org/entity/Q83107194	JYLMHTHQKBETEO-UHFFFAOYSA-N	InChI=1S/C16H18O5/c1-7(2)11-9-5-8(3)16(21-4)15(20)12(9)10(6-17)13(18)14(11)19/h5-7,18-20H,1-4H3	COc1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	C16H18O5	nan	290.115423676	Raimondal	JYLMHTHQKBETEO	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	http://www.wikidata.org/entity/Q15368410	Gossypium raimondii	79347.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malvales']	['Malvaceae']	['Unknown']	['Gossypium']	['Gossypium raimondii']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malvales']	['Malvaceae']	nan	nan	nan	6	3	10.063040256500244	1	706	Terpenoids	1.0	Sesquiterpenoids	0.8	Cadinane sesquiterpenoids	0.4
1044	1.0	0.5396792	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	RFTWGTNWFRSBHI	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.158716917037964	1	-1	nan	nan	nan	nan	nan	nan
1045	5.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105262720	SWJWADJRDWMJQJ-INZIAJHOSA-N	InChI=1S/C36H36O19/c1-49-24-8-14(2-5-17(24)38)3-7-26(44)50-13-25-29(46)30(47)34(55-35-31(48)28(45)22(43)12-51-35)36(53-25)54-32-21(42)10-19(40)27-20(41)11-23(52-33(27)32)15-4-6-16(37)18(39)9-15/h2-11,22,25,28-31,34-40,42-43,45-48H,12-13H2,1H3/b7-3+/t22-,25-,28+,29-,30+,31-,34-,35+,36+/m1/s1	COc1cc(/C=C/C(=O)OC[C@H]2O[C@@H](Oc3c(O)cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc34)[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)ccc1O	C36H36O19	pos_1_1proton	772.1850789320001	[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-8-yl]oxy-3,4-dihydroxy-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]methyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate	SWJWADJRDWMJQJ	Shikimates and Phenylpropanoids	Flavonoids	Flavones	http://www.wikidata.org/entity/Q161211	Setaria italica	553005.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Paniceae']	['Setaria']	['Setaria italica']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	nan	nan	nan	6	3	7.5	1	437	Shikimates and Phenylpropanoids	0.8571428571428571	Flavonoids	0.8571428571428571	Flavones	0.7142857142857143
1048	28.0	0.22410949	ISDB	http://www.wikidata.org/entity/Q105130710	JLHBPOUWGMGEPC-DIGZUXTDSA-N	InChI=1S/C22H30O4/c1-12-15-10-14-6-7-18-21(3,4)19(25-13(2)23)8-9-22(18,5)16(14)11-17(15)26-20(12)24/h10,16-19H,6-9,11H2,1-5H3/t16-,17-,18-,19+,22+/m1/s1	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H]3C[C@H]4OC(=O)C(C)=C4C=C3CC[C@@H]2C1(C)C	C22H30O4	nan	358.21440944	(3S)-3alpha-Acetoxy-1,2,3,4,4aalpha,5,10abeta,11,11aalpha,11b-decahydro-4,4,8,11bbeta-tetramethylphenanthro[3,2-b]furan-9(6H)-one	JLHBPOUWGMGEPC	Terpenoids	Diterpenoids	Furanoabietane diterpenoids	http://www.wikidata.org/entity/Q15232450	Euphorbia micractina	3912390.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia micractina']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	nan	8	0	8.89643794298172	1	-1	nan	nan	nan	nan	nan	nan
1055	1.0	0.50247324	ISDB	http://www.wikidata.org/entity/Q105267870	TZAXQHDIMDQXRD-YJQAKTFBSA-N	InChI=1S/C19H22O5/c1-4-9-18-10-5-6-16(21)19(18,22)24-17(12(18)2)13-7-8-14(20)15(11-13)23-3/h4-8,11-12,17,20,22H,1,9-10H2,2-3H3/t12-,17+,18-,19-/m1/s1	C=CC[C@]12CC=CC(=O)[C@@]1(O)O[C@H](c1ccc(O)c(OC)c1)[C@H]2C	C19H22O5	nan	330.146723804	(2S)-2,3,3a,4-Tetrahydro-2alpha-(4-hydroxy-3-methoxyphenyl)-7aalpha-hydroxy-3beta-methyl-3aalpha-(2-propenyl)benzofuran-7(7aH)-one	TZAXQHDIMDQXRD	Shikimates and Phenylpropanoids	Lignans	Neolignans	http://www.wikidata.org/entity/Q4764448	Aniba ferrea	6025335.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Laurales']	['Lauraceae']	['Unknown']	['Aniba']	['Aniba ferrea']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	7.50989294052124	1	551	Terpenoids	1.0	Diterpenoids	1.0	Neolignans	1.0
1058	24.0	0.25054306	ISDB	http://www.wikidata.org/entity/Q104397823	QFAJOILVRWFPQA-UHFFFAOYSA-N	InChI=1S/C22H32O5/c1-12-14-7-6-9-21(3,4)16(14)8-10-22(12,5)18-15-11-17(24)26-20(18)27-19(15)25-13(2)23/h12,15,18-20H,6-11H2,1-5H3	CC(=O)OC1OC2OC(=O)CC1C2C1(C)CCC2=C(CCCC2(C)C)C1C	C22H32O5	nan	376.224974124	[3-Oxo-8-(1,2,5,5-tetramethyl-1,3,4,6,7,8-hexahydronaphthalen-2-yl)-2,7-dioxabicyclo[3.2.1]octan-6-yl] acetate	QFAJOILVRWFPQA	Terpenoids	Diterpenoids	Spongiane diterpenoids	http://www.wikidata.org/entity/Q3126952	Goniobranchus annulatus	2875422.0	['Eukaryota']	['Metazoa']	['Mollusca']	['Gastropoda']	['Nudibranchia']	['Chromodorididae']	['Unknown']	['Goniobranchus']	['Goniobranchus annulatus']	nan	['Eukaryota']	['Metazoa']	['Mollusca']	['Gastropoda']	nan	nan	nan	nan	nan	4	0	5.002172231674194	1	-1	nan	nan	nan	nan	nan	nan
1059	1.0	0.61595905	ISDB	http://www.wikidata.org/entity/Q104960064	CIOUQKGNHMSZRR-GOSISDBHSA-N	InChI=1S/C19H34O3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(20)19(21)22-2/h7-8,10-11,18,20H,3-6,9,12-17H2,1-2H3/t18-/m1/s1	CCCCCC=CCC=CCCCCCC[C@@H](O)C(=O)OC	C19H34O3	nan	310.250794948	methyl (2R)-2-hydroxyoctadeca-9,12-dienoate	CIOUQKGNHMSZRR	nan	nan	nan	http://www.wikidata.org/entity/Q769865	Salvia nilotica	861976.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Mentheae']	['Salvia']	['Salvia nilotica']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	3.463836193084717	1	-1	nan	nan	nan	nan	nan	nan
